firstAuthor	accessionId	publicationDate	journal	title	reportedTrait	efoTraits	bgTraits	discoverySampleAncestry	"replicationSampleAncestry"	associationCount	summaryStatistics	ssApiFlag	agreedToCc0	genotypingTechnologies	pubmedId	initialSampleDescription	"replicateSampleDescription"
"Chen Y"	GCST90200689	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N6-methyllysine levels"	"N6-methyllysine measurement"	-	"8299 European"		3	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200689"	no	no	"Genome-wide genotyping array"	36635386	"8,299 European ancestry individuals"	NA
"Chen Y"	GCST90200690	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N-acetyl-1-methylhistidine levels"	"N-acetyl-1-methylhistidine measurement"	-	"7588 European"		2	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200690"	no	no	"Genome-wide genotyping array"	36635386	"7,588 European ancestry individuals"	NA
"Chen Y"	GCST90200691	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N-delta-acetylornithine levels"	"N-delta-acetylornithine measurement"	-	"8259 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200691"	no	no	"Genome-wide genotyping array"	36635386	"8,259 European ancestry individuals"	NA
"Chen Y"	GCST90200692	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"1-palmitoyl-2-arachidonoyl-gpc (16:0/20:4n6) levels"	"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6) measurement"	-	"8238 European"		3	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200692"	no	no	"Genome-wide genotyping array"	36635386	"8,238 European ancestry individuals"	NA
"Chen Y"	GCST90200693	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Glycochenodeoxycholate glucuronide (1) levels"	"glycochenodeoxycholate glucuronide (1) measurement"	-	"8236 European"		4	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200693"	no	no	"Genome-wide genotyping array"	36635386	"8,236 European ancestry individuals"	NA
"Chen Y"	GCST90200694	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"2'-o-methylcytidine levels"	"2'-O-methylcytidine measurement"	-	"8122 European"		2	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200694"	no	no	"Genome-wide genotyping array"	36635386	"8,122 European ancestry individuals"	NA
"Chen Y"	GCST90200695	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"2'-o-methyluridine levels"	"2'-O-methyluridine measurement"	-	"7582 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200695"	no	no	"Genome-wide genotyping array"	36635386	"7,582 European ancestry individuals"	NA
"Chen Y"	GCST90200696	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N6,N6-dimethyllysine levels"	"N6,N6-dimethyllysine measurement"	-	"8265 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200696"	no	no	"Genome-wide genotyping array"	36635386	"8,265 European ancestry individuals"	NA
"Chen Y"	GCST90200697	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N2-acetyl,N6,N6-dimethyllysine levels"	"metabolite measurement"	-	"7891 European"		2	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200697"	no	no	"Genome-wide genotyping array"	36635386	"7,891 European ancestry individuals"	NA
"Chen Y"	GCST90200698	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N2-acetyl,N6-methyllysine levels"	"N2-acetyl,N6-methyllysine measurement"	-	"8069 European"		3	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200698"	no	no	"Genome-wide genotyping array"	36635386	"8,069 European ancestry individuals"	NA
"Chen Y"	GCST90200699	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Deoxycholic acid glucuronide levels"	"deoxycholic acid glucuronide measurement"	-	"8060 European"		4	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200699"	no	no	"Genome-wide genotyping array"	36635386	"8,060 European ancestry individuals"	NA
"Chen Y"	GCST90201554	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Cortolone glucuronide (1) levels"	"cortolone glucuronide (1) measurement"	-	"58 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201554"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201555	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"(N(1) + N(8))-acetylspermidine levels"	"blood N(1)-acetylspermidine measurement,blood N(8)-acetylspermidine measurement"	-	"59 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201555"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201556	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Carotene diol (3) levels"	"carotene diol (3) measurement"	-	"55 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201556"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201557	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"3-hydroxyoleoylcarnitine levels"	"metabolite measurement"	-	"49 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201557"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201558	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"2-butenoylglycine levels"	"2-butenoylglycine measurement"	-	"40 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201558"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201559	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Trans-2-hexenoylglycine levels"	"metabolite measurement"	-	"38 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201559"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201560	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Hydroxy-cmpf levels"	"hydroxy-CMPF measurement"	-	"58 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201560"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201561	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"5-dodecenoylcarnitine (C12:1) levels"	"5-dodecenoylcarnitine (C12:1) measurement"	-	"55 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201561"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201562	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"2-furoylcarnitine levels"	"metabolite measurement"	-	"40 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201562"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201563	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Hexadecenedioate (C16:1-DC) levels"	"hexadecenedioate (C16:1-DC) measurement"	-	"60 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201563"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201564	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Octadecenedioate (C18:1-DC) levels"	"octadecenedioate (C18:1-DC) measurement"	-	"60 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201564"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201565	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"2-hydroxyarachidate levels"	"2-hydroxyarachidate measurement"	-	"60 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201565"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201566	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Dodecenedioate (C12:1-DC) levels"	"dodecenedioate (C12:1-DC) measurement"	-	"59 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201566"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201567	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Octadecadienedioate (C18:2-DC) levels"	"octadecadienedioate (C18:2-DC) measurement"	-	"60 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201567"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201568	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Glucuronide of C12H22O4 (1) levels"	"metabolite measurement"	-	"44 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201568"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201569	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP) levels"	"3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP) measurement"	-	"60 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201569"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201570	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Heptenedioate (C7:1-DC) levels"	"heptenedioate (C7:1-DC) measurement"	-	"59 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201570"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201571	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Hydroxyasparagine levels"	"hydroxyasparagine measurement"	-	"60 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201571"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201572	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"3-hydroxybutyroylglycine levels"	"3-hydroxybutyroylglycine measurement"	-	"60 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201572"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201573	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Perfluorooctanoate (PFOA) levels"	"perfluorooctanoate (PFOA) measurement"	-	"60 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201573"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201574	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Glutamine conjugate of C7H12O2 levels"	"glutamine conjugate of C7H12O2 measurement"	-	"50 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201574"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201575	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"3-formylindole levels"	"3-formylindole measurement"	-	"60 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201575"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201576	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Glycine conjugate of C10H12O2 levels"	"glycine conjugate of C10H12O2 measurement"	-	"46 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201576"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201577	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N-acetyl-2-aminooctanoate levels"	"N-acetyl-2-aminooctanoate measurement"	-	"60 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201577"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90201578	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Dihydroferulic acid sulfate levels"	"dihydroferulic acid sulfate measurement"	-	"33 African unspecified"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201578"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90202368	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N-methyltaurine levels"	"N-methyltaurine measurement"	-	"71 East Asian"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202368"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90202369	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Mannonate levels"	"mannonate measurement"	-	"100 East Asian"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202369"	no	no	"Genome-wide genotyping array"	36635386		NA
"Chen Y"	GCST90200653	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-24812 levels"	"X-24812 measurement"	-	"7878 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200653"	no	no	"Genome-wide genotyping array"	36635386	"7,878 European ancestry individuals"	NA
"Chen Y"	GCST90200654	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-25217 levels"	"metabolite measurement"	-	"4098 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200654"	no	no	"Genome-wide genotyping array"	36635386	"4,098 European ancestry individuals"	NA
"Chen Y"	GCST90200655	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-25828 levels"	"X-25828 measurement"	-	"8156 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200655"	no	no	"Genome-wide genotyping array"	36635386	"8,156 European ancestry individuals"	NA
"Chen Y"	GCST90200656	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-25371 levels"	"X-25371 measurement"	-	"8205 European"		3	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200656"	no	no	"Genome-wide genotyping array"	36635386	"8,205 European ancestry individuals"	NA
"Chen Y"	GCST90200657	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-25419 levels"	"X-25419 measurement"	-	"7994 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200657"	no	no	"Genome-wide genotyping array"	36635386	"7,994 European ancestry individuals"	NA
"Chen Y"	GCST90200658	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-25265 levels"	"X-25265 measurement"	-	"7916 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200658"	no	no	"Genome-wide genotyping array"	36635386	"7,916 European ancestry individuals"	NA
"Chen Y"	GCST90200659	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-25172 levels"	"X-25172 measurement"	-	"8117 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200659"	no	no	"Genome-wide genotyping array"	36635386	"8,117 European ancestry individuals"	NA
"Chen Y"	GCST90200660	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-25957 levels"	"X-25957 measurement"	-	"7335 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200660"	no	no	"Genome-wide genotyping array"	36635386	"7,335 European ancestry individuals"	NA
"Chen Y"	GCST90200661	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-25422 levels"	"X-25422 measurement"	-	"8210 European"		4	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200661"	no	no	"Genome-wide genotyping array"	36635386	"8,210 European ancestry individuals"	NA
"Chen Y"	GCST90200662	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-25790 levels"	"X-25790 measurement"	-	"8221 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200662"	no	no	"Genome-wide genotyping array"	36635386	"8,221 European ancestry individuals"	NA
"Chen Y"	GCST90200663	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-25420 levels"	"X-25420 measurement"	-	"8271 European"		2	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200663"	no	no	"Genome-wide genotyping array"	36635386	"8,271 European ancestry individuals"	NA
"Chen Y"	GCST90200664	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-25810 levels"	"metabolite measurement"	-	"8167 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200664"	no	no	"Genome-wide genotyping array"	36635386	"8,167 European ancestry individuals"	NA
"Chen Y"	GCST90200665	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-25433 levels"	"X-25433 measurement"	-	"6516 European"		3	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200665"	no	no	"Genome-wide genotyping array"	36635386	"6,516 European ancestry individuals"	NA
"Chen Y"	GCST90200666	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-25343 levels"	"X-25343 measurement"	-	"8195 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200666"	no	no	"Genome-wide genotyping array"	36635386	"8,195 European ancestry individuals"	NA
"Chen Y"	GCST90200667	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"X-25271 levels"	"X-25271 measurement"	-	"7906 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200667"	no	no	"Genome-wide genotyping array"	36635386	"7,906 European ancestry individuals"	NA
